Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983
"    Real Estate, Professional Services And Administrative & Support Services",124119.9166,122099.3472,109666.835,101801.2193,116482.1029,122972.856,120695.9621,120602.0449,116233.1399,111102.5284,113112.4641,108946.724,106528.5158,99334.1423,89320.5369,92887.8274,90047.7599,80901.8638,80062.2611,77115.273,73687.9777,74004.2846,71196.8772,78206.2492,77743.6096,81603.8677,91962.8695,90391.9585,84987.4309,78255.7193,66372.165,61774.5803,56543.5996,na,na,na,na,na,na,na,na
      Real Estate,265228.6591,252501.1236,225360.128,176390.9267,206790.2827,202926.8596,193845.3556,214150.0615,211539.1113,209100.5326,220481.6792,195306.6032,195244.5521,175854.8535,142226.0914,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,128983.1718,127185.5637,114914.7522,107246.7924,118156.3968,111738.5966,110642.354,106323.0252,104043.8539,97989.2191,101990.7381,105305.8705,103685.1786,102499.5935,98613.8895,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Administrative & Support Services,74572.3221,76447.833,68730.6023,72733.1279,85384.6061,107717.2219,105690.2742,101977.9499,90384.4475,81687.8839,76070.513,71289.1552,67490.5402,58803.1955,52066.5445,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,66723.0329,64898.3552,62503.6973,57971.1374,63925.6918,63550.2824,62241.3868,60100.0187,58773.1633,58037.0381,57057.2212,54891.2027,54240.6687,50864.6688,44955.8629,45638.5685,45450.2403,44774.1925,43600.9994,43670.1321,41727.0765,42178.3386,40516.3966,38645.6012,35500.8837,36602.0775,38467.5743,38168.589,36113.6633,35209.2873,32151.8032,30237.1504,29491.9744,na,na,na,na,na,na,na,na
      Public Administration & Defence,108359.2554,104430.9475,97616.7305,91432.5813,95330.3779,92300.0577,88577.144,84781.2724,80356.4674,74535.9785,72432.5722,65475.1052,65476.9736,60650.6616,54426.666,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Education,134869.8654,132372.3194,131904.6798,125568.3766,129552.5195,136331.8273,132485.1367,130464.5572,128984.2206,126496.3033,127532.7646,122892.6843,124634.4617,124932.0013,120668.169,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Health & Social Services,80815.1707,76798.1305,74796.2038,71678.029,78292.2816,76429.9632,75414.5809,73281.0087,70959.2716,71849.0519,68850.8667,69101.2594,67107.299,67495.6283,63571.5335,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Arts, Entertainment & Recreation",118821.3796,112297.8794,88265.9547,68634.6624,109093.4601,109422.088,107830.5103,94044.4874,95639.6028,105262.2963,103235.0352,104954.2056,107858.7188,92819.1165,55389.3448,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Services - Others,17073.7336,16794.5688,16169.9066,15558.0275,18263.5558,17401.5355,17241.3108,17066.5189,16630.538,16148.0312,16146.7926,15854.2352,15240.721,14378.8526,14172.9199,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA per worker for industry are based on gross value added at current basic prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Prices:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The actual price agreed upon by the parties in the transactions. In the absence of market transactions, valuation is made according to costs incurred or by reference to market prices for similar goods or services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross value added is derived by the output or income approach. 
The output approach measures value added as output less intermediate consumption. Output refers to the value of goods and services produced  while intermediate consumption is value of goods and services consumed as inputs by a process of production, e.g. materials, utilities, fuel, rental paid for premises and equipment, banking and financial charges and other operating costs.
The income approach derives value added as the sum of incomes generated from the domestic production of goods and services, which comprise gross operating surplus, remuneration and taxes (less subsidies) on production. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 24/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
